id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15779334,The Old Potter Homestead - sleeps 9 comfortably,58443601,Angela,Kent,Carleton,46.79061,-65.04353,Entire home/apt,225,2,109,2022-06-12,1.77,1,295,31,
15797725,Fully Furnished bachelor suite in downtown Moncton,93644538,Lorraine,Westmorland,Moncton,46.0911,-64.78993,Entire home/apt,128,3,14,2022-06-07,0.22,16,0,3,
11958846,"Skyline Resort - Pool, Hot tub & Tiki Hut! Blue Kg",16489649,Francis,York,Fredericton,45.93816,-66.64009,Private room,110,1,49,2021-09-19,0.68,2,330,7,
12025926,The Coastal Suite,64352988,Wendy,Albert,Hopewell,45.84822,-64.57621,Entire home/apt,185,2,54,2022-06-21,0.89,2,296,17,
15881825,"Private room in quiet neighborhood, near downtown",102984917,Beth,York,Fredericton,45.95803,-66.6532,Private room,39,4,69,2022-06-18,1.03,1,308,3,
15909030,Family Lakeside Cottage Close to Airport,103208462,Erin,Saint John,City of Saint John,45.32749,-65.91746,Entire home/apt,120,5,16,2022-03-30,0.24,1,84,3,
12040190,The Artisan Suite,64352988,Wendy,Albert,Hopewell,45.84989,-64.57608,Entire home/apt,185,2,70,2022-06-21,0.95,2,299,20,
16015082,Brightwater Cottage,57953826,Kathi,Saint John,Saint Martins,45.3193,-65.55615,Entire home/apt,140,2,57,2022-06-21,1.10,1,207,21,
12053350,"Best view of the city, room with private bath.",2839314,Rodge,Westmorland,Moncton,46.06774,-64.7188,Private room,79,2,23,2019-08-21,0.34,2,12,0,
12190930,St Ives Cottage on Grand Lake,65527327,Jim,Queens,Waterborough,45.91974,-65.98397,Entire home/apt,130,6,13,2021-08-20,0.21,1,36,5,
16094540,Maison Chiasson # 1,49892961,Yves,Gloucester,Shippagan,47.7408,-64.61738,Entire home/apt,175,6,1,2019-08-10,0.03,4,266,0,
12386559,One Princess ~ Loft Apartment #2,47446936,One Princess,Saint John,City of Saint John,45.27055,-66.06321,Entire home/apt,149,2,84,2022-06-05,1.15,3,134,3,
16189805,"Cozy, Clean & Quiet Space",105720558,Haruka,York,Fredericton,45.92066,-66.59798,Private room,70,1,94,2022-06-13,1.57,1,360,11,
